country,pl,plf,reg,ts,user
US,3,Android,1585791977975,1586051375553,16349925prod-us
CR,3,Android,1586120443056,1586120443076,16407282prod-us
GH,9,Android,1568947530528,1586065207516,19306770prod-in
MG,7,Android,1578035533558,1586063043759,22789447prod-in
NG,27,iOS,1580743586165,1586044991327,23711165prod-in
NG,5,iOS,1582975152194,1586057255669,24372246prod-in
ID,13,Android,1583211741264,1586048069344,24434459prod-in
KG,33,Android,1572866519644,1586054872465,24753581prod-eu
IN,4,Android,1584891321583,1586058710089,24968351prod-in
NP,14,Android,1585263577755,1586047472787,25117016prod-in
MY,8,Android,1585320936567,1586048631854,25143328prod-in
IN,11,Android,1585452522128,1586054221912,25191653prod-in
MM,4,Android,1585623293525,1586055292003,25257518prod-in
PH,4,Android,1585645105087,1586053615510,25267682prod-in
IN,6,Android,1585820226910,1586061763604,25334444prod-in
MY,3,Android,1585908699561,1586077225206,25367614prod-in
AF,4,Android,1585954207190,1586070071726,25382511prod-in
BD,3,Android,1586013084831,1586045808524,25407391prod-in
IN,1,Android,1586052285672,1586052285681,25417264prod-in
PH,3,Android,1586065827512,1586065827523,25423050prod-in
IT,23,Android,1584118355172,1586047083189,28422771prod-eu
OM,23,Android,1585109168353,1586060250974,28725008prod-eu
RU,7,iOS,1585413573773,1586063206009,28837349prod-eu
BE,8,Android,1585427859524,1586044816699,28844900prod-eu
KZ,7,Android,1585831077212,1586063108544,28966687prod-eu
AM,2,Android,1586106214921,1586106214953,29046771prod-eu
IN,3,Android,1518494920646,1586107748065,5768579prod-in
CN,3,iOS,1585958458768,1586045010228,10291132prod-as
CN,3,iOS,1585970733840,1586049808569,10295955prod-as
HK,8,Android,1585993452774,1586063768998,10307646prod-as
CN,1,Android,1586108408338,1586108408362,10331294prod-as
MA,22,iOS,1545901283743,1586048313550,11309990prod-in
VN,12,Android,1550056253292,1586051726216,11931950prod-in
EG,6,Android,1550504085988,1586070226323,12002275prod-in
ET,28,Android,1557069746434,1586060041259,13992162prod-in
PH,24,Android,1558308607489,1586048652159,14821803prod-in
BR,16,iOS,1578697161166,1586045086710,15103633prod-us
BR,16,Android,1580694275938,1586045866402,15474106prod-us
US,10,Samsung,1583588325214,1586045476994,15906658prod-us
PE,14,Android,1583684655125,1586049942971,15928135prod-us
IN,26,Android,1511711999358,1586053221800,2047654prod-in
MY,15,Android,1572097844820,1586063491596,20516667prod-in
RU,6,Android,1560452871321,1586056958156,20744158prod-eu
MY,24,iOS,1576341964646,1586060497000,22086839prod-in
EG,18,Android,1511977796401,1586045122818,2389703prod-in
ID,24,Android,1581985190758,1586047704086,24093959prod-in
ID,8,iOS,1583038427606,1586047750822,24389039prod-in
IR,10,Android,1572872120547,1586050439777,24755662prod-eu
MY,6,Android,1584709866476,1586045735328,24893250prod-in
IN,3,Android,1584852388585,1586051907499,24947529prod-in
IN,6,Android,1585325209365,1586057107576,25145373prod-in
IN,3,Android,1585468604457,1586060119334,25199506prod-in
IN,4,Android,1585858061201,1586076250398,25349999prod-in
LK,3,Android,1585972377583,1586057765991,25387598prod-in
IN,3,Android,1585978390117,1586050345766,25390331prod-in
EG,4,Android,1586026654459,1586070812723,25412209prod-in
PH,3,Android,1586060191309,1586060191311,25420424prod-in
IN,3,Android,1586073468882,1586073468890,25426742prod-in
HU,12,Android,1585573111022,1586064141395,28887690prod-eu
RU,5,Android,1585890480106,1586055224254,28984111prod-eu
RU,3,Android,1586003912129,1586069266735,29016612prod-eu
RU,10,iOS,1586009817915,1586083006211,29019019prod-eu
IR,3,Android,1586076585301,1586076585332,29035384prod-eu
IR,2,Android,1586100403442,1586100403472,29044444prod-eu
BR,21,Android,1516409901482,1586045928899,4209595prod-us
JP,33,iOS,1545746737964,1586044875747,5992783prod-as
